Acceleration limit not met!

0.59

Acceleration limit not met!

3.10

h: 0.16 a: 3.10

h: 1.52 a: 3.10

h: 0.69 a: 3.10

h: 0.53 a: 3.10

h: 0.45 a: 3.10

h: 0.39 a: 3.10

h: 0.36 a: 3.10

h: 0.33 a: 3.10

h: 0.31 a: 3.10

h: 0.29 a: 3.10

h: 0.27 a: 3.10

h: 0.26 a: 3.10

h: 0.25 a: 3.10

h: 0.24 a: 3.10

h: 0.23 a: 3.10

h: 0.22 a: 3.10

h: 0.21 a: 3.10

h: 0.21 a: 3.10

h: 0.20 a: 3.10

h: 0.19 a: 3.10

h: 0.19 a: 3.10

h: 0.18 a: 3.10

h: 0.18 a: 3.10

h: 0.18 a: 3.10

h: 0.17 a: 3.10

h: 0.17 a: 3.10

h: 0.17 a: 3.10

h: 0.16 a: 3.10

h: 0.16 a: 3.10

h: 0.16 a: 3.10

h: 0.15 a: 3.10

h: 0.15 a: 3.10

h: 0.15 a: 3.10

h: 0.15 a: 3.10

h: 0.14 a: 3.10

h: 0.14 a: 3.10

h: 0.14 a: 3.10

h: 0.14 a: 3.10

h: 0.14 a: 3.10

h: 0.13 a: 3.10

h: 0.13 a: 3.10

h: 0.13 a: 3.10

h: 0.13 a: 3.10

h: 0.13 a: 3.10

h: 0.13 a: 3.10

h: 0.13 a: 3.10

h: 0.12 a: 3.10

h: 0.12 a: 3.10

h: 0.12 a: 3.10

h: 0.12 a: 3.10

h: 0.12 a: 3.10

h: 0.12 a: 3.10

h: 0.12 a: 3.10

h: 0.12 a: 3.10

h: 0.11 a: 3.10

h: 0.11 a: 3.10

h: 0.11 a: 3.10

h: 0.11 a: 3.10

h: 0.11 a: 3.10

h: 0.11 a: 3.10

h: 0.11 a: 3.10

h: 0.11 a: 3.10

h: 0.11 a: 3.10

h: 0.11 a: 3.10

h: 0.11 a: 3.10

h: 0.10 a: 3.10

h: 0.10 a: 3.10

h: 0.10 a: 3.10

h: 0.10 a: 3.10

h: 0.10 a: 3.10

h: 0.10 a: 3.10

h: 0.10 a: 3.10

h: 0.10 a: 3.10

h: 0.10 a: 3.10

h: 0.10 a: 3.10

h: 0.10 a: 3.10

h: 0.10 a: 3.10

h: 0.10 a: 3.10

h: 0.10 a: 3.10

h: 0.09 a: 3.10

h: 0.09 a: 3.10

h: 0.09 a: 3.10

h: 0.09 a: 3.10

